ano,sentenca,cluster
1802,seis anos de terrivel guerra traziam os espiritos cansados e a lembrança de se reunirem as familias que estavam dispersas havia tanto tempo e de o regresso de a familia real entusiasmava os animos entusiasmo de que partilhavamos eu e meu irmao apesar de a verdura de os anos,0
1802,esta corrida de touros em nada nos admirou talvez por termos ainda presente em a ideia uma corrida a que assistimos pouco tempo antes de a familia real partir para o brasil e em que figuraram quase todos os nossos parentes em a casa de o conde de mesquitella a a luz,2
1802,a casa e quinta foram cercadas por uma força de a guarda real de a policia e entrando em a sala o respectivo magistrado intimou o senhor de pancas para se considerar preso de estado fazendo o conduzir logo em uma sege com uma forte escolta a a ribeira de as naus onde embarcou para a fragata perola que partiu para os açores,3
1802,destinado para um magnifico jantar que deram os governadores de o reino em o palacio de a antiga regencia e nos que por a nossa pouca idade nao eramos convidados mas que nao faltavamos a ver todas as festas fomos com joao evangelista para o rocio e de ali vimos entrar os convidados e o duque que ia em uma carruagem de a casa real com o marechal beresford escoltado por a cavalaria de voluntarios de o comercio,0
1802,quando o marechal bebeu a a saude de a rainha e de a familia real foi correspondido com estrepitosos vivas,0
1802,o senado de lisboa decidiu dar um grande baile em a sala de o teatro de sao carlos em honra de o exercito portugues em o dia de outubro de aniversario de o principe real,1
1802,a tribuna real estava aberta e nella colocados tres retratos o de a rainha dona maria i o de o principe regente e o de a princesa carlota,3
1802,era raro o oficial superior ou de estado maior que nao tivesse uma sege de a casa real a a sua disposiçao,2
1802,monsieur prevot primeiro ajudante de campo de junot e seu estribeiro dispunha de as equipagens e cavalos de a casa real como se estivesse em pais conquistado,0
1802,estando a inspecionar a guarniçao de cascais viu sair a esquadra portuguesa e uma nau com o pavilhao real sendo seguida por a esquadra inglesa,2
1802,era a esquadra inglesa de o almirante sidney smith que salvava a o pavilhao real de a nau que conduzia o principe regente que em aquele momento seriam tres horas de a tarde saia a barra,2
1802,nunca me esquecerao as lagrimas que vi derramar tanto a o povo como a os criados de a casa real e a os soldados que estavam em o largo de belem,0
1802,minhas tias muitas vezes montavam em cavalos de a casa real seguidas de os criados e a quase todas as senhoras de a corte aconteceu o mesmo,0
1802,fechou o largo de queluz com uma gradaria de ferro dando a o palacio a aparencia de uma habitaçao real o que ele nao tinha,0
1802,eu vi passar em frente de a casa onde estava o palio isolado rodeado de os granadeiros franceses e seguido de o general junot seu estado maior alguns grandes de o reino e a guarda real de os archeiros,2
1802,em lisboa so havia entao a guarniçao francesa e a guarda real de a policia e as alas foram feitas por os franceses comandando a força o general loison,2
1802,desde este momento segundo as recordaçoes que tenho e o que depois ouvi cessou o segredo de a partida de a familia real e principiaram os preparativos e as despedidas,0
1802,era sobrinho e pupilo de o regedor de as justiças conselheiro de estado e capitao de a guarda real era sobrinho de dom luiz de vasconcellos e sousa antigo vicerei em o rio de janeiro conselheiro de estado presidente de o erario e por o lado de minha mae tinha o marques dalorna homem importante em aquela epoca e reputado um de os generais mais distintos de o nosso exercito e o conde de a ega camarista de o principe regente e um,2
1802,todos os empregados de a casa real de todas as classes me tratavam o melhor possivel,0
1802,de o rosmaninhal e de outras comendas de o conselho de estado e guerra presidente de o desembargo de o paço mordomomor de a rainha dona marianna daustria vedor de a fazenda governador de o algarve em a guerra de o seu tempo governador de as armas em as provincias de a beira e alemtejo um de os quatro primeiros censores de a academia real de historia falecido em de fevereiro de,0
1802,minha avo partiu para aldegallega escoltada por uma força de a guarda real de a policia com seu filho o conde joao doyenhausen que tinha nove anos deixando as tres filhas solteiras que tinha uma em casa de a condessa de a ega e as outras duas com minha mae e continuou a sua viagem para madrid,0
1802,o general junot passou em uma carruagem de a casa real com moço de estribeira seguido de muitos oficiais de estado maior e por a sua escolta e lembro me de que levava em a cabeça um bone bordado e a cara embrulhada em um lenço preto ouvindo dizer que ele fora ferido,1
1802,o palacio de xabregas magnificamente mobilado por o pai de a noiva nao era inferior a uma residencia real,1
1802,segundo eu examinei e soube nao havia uma unica verdade nisto que ela dizia e conquanto eu lhe devesse muitos obsequios e finezas nao posso deixar de confessar que era uma outra condessa de a graça real que ainda ha poucos anos conhecemos em lisboa,0
1802,jantar servido com todo o primor e luxo bela iluminaçao em o jardim onde tocavam diferentes musicas de os corpos de milicias que estavam em a capital e em as salas de o palacio um belo concerto dirigido por o famoso mestre angeleli que habitava havia muito tempo a casa de meus parentes e em que tomaram parte os famosos cantores de a capela real como persegilli faccioti e o famoso bufo de o teatro de elrei dom jose bertoci que entao e muitas vezes depois ouvi cantar e segundo as ideias que tenho nunca ouvi um comico italiano de mais graça e espirito,0
1802,a falta de instrutores era grande porque o nosso exercito ocupava as provincias e em lisboa apenas estava a guarda real de a policia,3
1812,porque nao tenho um real,4
1812,os dois terriveis campeoes desembainharem suas facas dando talvez aos motivos da briga uma interpretaçao mui diversa da verdadeira levada pelo instinto da conservaçao de si mesma nao fez mais do que fugir de ambos e como fugisse sem acordo em vez de seguir o trilho aberto por dentro do mato ou para diante ou para tras isto e ou para sair a estrada real ou para voltar para casa de laura estranhouse pelo mato a dentro fugindo ao trilho e aos dois tigres que desapiedadamente com tanto furor se batiam,1
1815,festa de dia festins a noite opera no teatro real banquetes é um dia cheio,0
1815,que aquele finge vir ofertar a real estatua,0
1815,nos tetos que abrigam real aposento reflete a lisonja do vil cortesao aqui nas estrelas de azul firmamento celestes efluvios de eterna mansao,0
1815,como a lusa prole cheia de assombro na futura idade do real vulto vera na igreja mole brilhar a magestade,0
1815,character maranhoa a familia real diz que vem incolita,4
1815,a musica da casa real com fardas de veludo carmesim agaloadas de oiro no lugar que melhor convenha ao efeito cenico,3
1815,o rancho e mascaras chegam diante fazem alas e saudam a real estatua com as tres cortesias da etiqueta,1
1825,e ha de a gente persuadirse que mora uma alma muito candida e muito pura dentro do peito que se albarda com um paleto de homem para arrotar francamente umas frases de bomba real que nos fazem comichoes nos miolos e arrepios na espinha,2
1826,era teles de meneses mas dos bons oriundos de uma dona ximena filha de ordonho º que fugiu ao pai com um cavaleiro que a abandonou em um bosque donde a misera foi dar ao sitio que hoje e turgueda na comarca de vila real e ai casou com telo lavrador do casal de meneses,2
1829,ninguem razoavelmente o ha de negar e eu creio que maior serviço fara o meu colega as ciencias promovendo a descoberta real de um so fato na natureza do que com a propaganda de novas hipoteses cuja necessidade desafio para que prove,0
1829,o meu colega porem entende que o essencial e a indagaçao da natureza real da causa dos fenomenos para o que busca despertar a atençao dos entendidos e profundos na materia,1
1829,se eu procuro chamar para este ponto a atençao dos sabios e profundos na materia nao e como diz o colega para indagar a natureza real da causa do fenomeno e sim para que esses sabios atendendo nao so aos fatos ja observados por newton mas tambem aqueles que depois desse celebre fisico tem sido objetos da observaçao o que ninguem podera contestar para que esses sabios digo vao buscar uma hipotese que os explique de maneira suficiente a satisfazer o espirito nao achando contra si as objeçoes com que,0
1829,e como os objetos que fazem a epigrafe deste nosso artigo o como sao eles entre nos podem diminuir a vida do homem sem necessidade real da sociedade nos vamos mostrar os seus inconvenientes convidando o nosso governo para que atente sobre eles para suas obrigaçoes para estas obrigaçoes que ele como governo como diretor da sociedade brasileira tem para com ela contraido,2
1829,jatoba grande arvore real,4
1829,em nosso numero passado atribuimos a apatia da corveta regeneraçao a uma de duas causas ou a omissao de seu comandante ou a falta de arranjos em que se achava aquela embarcaçao nacional hoje nos cumpre dizer que esta ultima nos parece a so real bem como que aquele barco fez posteriormente sobre os insurgentes um vivo e bem dirigido fogo,2
1829,corramos um escuro veu ao tenebroso passado e fixemos nossas vistas nas risonhas e agradaveis imagens que um futuro prazenteiro nos antolha e que com a nossa independencia veio salvar a bahia da crueza do despotismo e dos horrores do absolutismo garantindo a santa causa da liberdade e segurando os direitos inatos da nossa propriedade individual e real,0
1830,quando vier a sessao trarei disse o senhor presidente quando vier a sessao nao o senhor entregue a o socio cobrador depois disto saiu do cofre os penhores do socio geraldo sendo o condutor o socio tesoureiro hono rato fellipe mangabeira para serem ven didos pelo mesmo socio geraldo por ordem da sociedade e ficando o brigado a pagar todos os meses ate seu real embolso isto e o que fico restando de juros bem entendido ficou no cofre um par de castiçais ate a segunda ordem do conselho feito este trabalho mandou o senhor presidente por em execuçao o artigo dos estatutos e e de disposiçao ge ral do regimento e mandou a vista dos citados notar a todos os socios que se achavam compreendido nestes artigos e,0
1830,este trabalho que tirassem as contas do juros que estes senhores estavam devendo para por o artigo em execuçao felizmente a comissao so pode obter de senhor que estava a anos com seus penhores ordem para ser vendido e cobrar somentes o principal que era este senhor ficou de vendo o juros porem contratandose com a sociedade dar todos os meses dar ate seu real embolso o da hipoteca pagou o resto que era e retirou os seus tratos ficando a inda por haver de º de outro bem entendido principais a fora o juro entao espero no zelo da nova mesa nao deixar passar desapercebido por ter sido estes e outros desleixo a ruina total da nossa sociedade,2
1836,o conde de paço do lumiar que veio aqui buscar a mulher e com quem jantou ontem foi comigo e com o barao de hortega que o apresentou ao camarote da sociedade de palcos no real,1
1836,agora mesmo recebo de sagasta presidente do conselho de ministros uma amavel carta enviandome a minha credencial de cavaleiro gran cruz da real ordem de isabel a catolica,0
1836,laseñora de mugiro que entre parenteses e lindissima e em cujo camarote estive domingo passado a ouvir a opera força do destino no real disseme que estaria em lisboa dentro de dois meses e o marido vai com ela,0
1836,fui ontem proposto socio da academia real de sao fernando que e academia dos artistas e dos criticos de arte,0
1836,comment xxxvi real biblioteca da ajuda letter author ro title domingo de junho comment querida emìlia recebo o teu belo postal de de maio o qual continua a vir dirigido para sis loeu,4
1842,character rodrigo sua majestade sofre ligeiros incomodos que a obrigam a desviar a atençao dos negocios do estado mas sua alteza real supre a sua falta com o tino que deus concede sempre a tao eminentes pessoas,2
1845,e esta carta e quase sobretudo para que me digas o que devo pensar e em tres ou quatro traços me des a real realidade das coisas como diz o nosso fradique,2
1845,sobre o principe real sobre o futuro rei que vou pedir ao carlos valbom,0
1845,nao sei se esta razao e a razao real,4
1845,alem disso e necessario contar o papel dos caminhos de ferro espanhois garantido pelas nossa companhia real dos caminhos de ferro portugueses a saber linha de caceres linha de astorga ou transversal,2
1845,o velho escudo real por um fio,1
