ano,sentenca,cluster
1800,bahia de setembro de protestamos ser constantes no depozito das nossas joias entradas a qual se acha ja em coffre e a onde deve estar o coffre depozitado a saber comment sinal em tinta cuja cor se difere da do documento,1
1800,votto das favas oseguinte rozario de santo antonio a onde estamos conjuntos sahio com dezoito favas pretas e quatorze brancas para estar aonde existe o coffre do senhor dos mar tirios sahio com honzepretas e vinte huma branca para estar com ocoffre do rozario das portas do carmo sahio com treze pretas e dezeno comment sinal em tinta cuja cor se difere da do documento,1
1800,defin idor manuel do sacramento e conceicam roza concultor gregorio manuel bahia comçultro bernabe alvares conçultor ignacio de jesus concultor roberto tavares consultor joze maria vilella andador comment no final dessa assinatura ha um u maiusculo em lapis de cera azul vicente rodriguez pacheço çoncurtor francisco miguel dos anjos emquruidor francisco joze pippino manoel joao do rozario comment logo depois dessa assinatura ha um sinal x escrito com hidrocor azul escuro,1
1802,seguia se depois a missa que sem exageraçao durava hora e meia e para se formar ideia de a demora basta dizer que tinhamos tempo eu e meu irmao entre o levantar a hostia e calice e o pater noster para irmos brincar para o jardim deixando um rapaz de vedeta em o adro de a capela para nos fazer sinal quando deviamos voltar,1
1802,de castello melhor mae de o noivo vestida com um quase habito de freira afogado sem colarinhos e com uma touca branca que parecia de dormir dirigindo o cortejo com a sua atividade costumada seguida por o padre morato mestre de o marques homem muito instruido mas de exotica figura e a marquesa de abrantes mae com uma toilette muito simples trazendo so como sinal de gala uma fita cor de rosa a a roda de a cabeça para lhe segurar os cabelos brancos e trazendo por a mao o famoso missionario de o varatojo frei faustino hospede de os marqueses de niza e que estava quase cego,1
1812,em uma hora convencionada e a um sinal do patife domingas chamou seu senhor a parte e soproulhe no ouvido que no quarto da senhora estava um preto detras da porta,1
1812,esse sorriso era intraduzivel podia ser a ex pressao ironica de uma dor ou um sinal fugitivo de um prazer interno,1
1812,entao os caixeiros da casa estupefatos ate ali bradaram prendamos este assassino prendamos e dizendo isto avançaram um passo para o joven que so cegado e tranquilo apenas levantou a mao fazendolhes sinal para que parassem e disse suspendamse meus senhores aqui nao esta um assas sino matei e verdade este homem mas mateio nobre mente em um duello muito leal mas um duello sem testemunhas meu menino,1
1812,alem disto maria fazia mal o sinal da cruz e repetia algumas palavras vagas do bendito e do padrenosso,1
1812,o senhor augusto depois de uma breve reflexao disse tem mas esse sinal com dificuldade se lhe pode ver,1
1812,é bem no alto da cabeça um molho de cabelos quase de cor de fogo mas conquanto esse sinal a poderia dar a conhecer e contudo quase impossivel visto que houve sempre o cuidado de cortar tao rente esse molho de cabelos que nao poderao aparecer no meio dos outros,1
1812,nao importa sempre e um sinal bem distinto,1
1815,se um tal dia para cumulo de desdita amanhecesse nao so ninguem desta casa sairia a rua como as portas e janelas estariam fechadas por dentro e por fora em sinal de luto,1
1815,um nobre curvandose ao tiranete a ponto de ter o seu retrato na sala de visitas em sinal de afeiçao,1
1815,à parte como ganho alto digam o que querem faz um sinal a casaca,1
1815,fazendo sinal de dinheiro,1
1825,character joao lopes por sinal que a menina deu uma tapona no ze torto que ficou torto de todo ó fidalga vossa excelencia hoje ja nao era capaz de romper ai com um marmeleiro pra frente de um homem qualquer,1
1825,o senhor deputado cosme diz que vera vossa excelencia character morgadinha ainda bem e sinal que nao e cego,1
1825,o morgado faz sinal de que quer falar,1
1826,este olmo que ainda tem um sinal de letras fui eu que o plantei ha vinte e tres anos,1
1829,jacauna deu o sinal da partida,1
1829,nossa senhora o embaraça ordenandolhe pelo sinal do dedo na boca que esteja quieto,1
1829,o cao felpudo deitado no borralho deu sinal de que se aproximava gente amiga,1
1829,ate parece sinal da bençao do altissimo sobre nos varias epidemias que antes de de novembro grassavam entre nos com mortifero dano cessaram de nos oprimir,1
1836,disselhe eu no regina e ate mostrei a maria e a isabel ou a zeca o rascunho dessa dedicatoria que elas por sinal acharam muito comovente,1
1836,recuseime dizendo que me estavam considerando uma parteira de duelos e que por pouco que isto continuasse a opiniao publica poderia exigirme que pusesse tabuleta ou tivesse a porta para sinal os meus floretes em cruz,1
1836,estou escrevendo a janela do meu quarto que e no quarto andar e vai marcado com um sinal,1
1842,e vai depois eu mandei chamar o doutor e disselhe assim ora vossemece ha de saber que eu estou com isto na perna fez dois anos pelo sao joao que ate por sinal andava o burro so doutor com perdao de vossemece com maleitas salvo seja que se fosse uma alma crista eu ia jurar que ele tinha a espinhela caida que eu estou em dizer que aquilo foi mau olhado que nos deitaram a nos so doutor a mim e ao burro,1
1842,luiz fazlhe com a cabeça um sinal afirmativo mariquinhas sai pela direita,1
1842,a trovoada luiz e um sinal da ira de deus,1
1842,character luiz nao disseste que a trovoada era um sinal da ira de deus,1
1856,dez vezes maior do que o nosso o arraial esta magnificamente ordenado para o primeiro sinal,1
1856,o pregao e o sinal da batalha,1
1876,um federalismo degenerado simples mascara do feudalismo dos governadores subjuga a uniao dissolve a unidade brasileira proscreve a patria vendenos a retalho ao estrangeiro preparando na partilha do antigo patrimonio das terras nacionais pelos sindicatos vindiços o movimento futuro da substituiçao da nossa soberana pela dos colonizadores poderosos cujas vanguardas esperam nos quatro estados do sul o sinal das metropoles enquanto outras começam a estender a garra untada de ouro pelos seringais do amazonas,1
1876,seu governo que grande numero de negociantes na ocasiao de deixar o inclito governador a administraçao da bahia para ir exercer a de ministro dos negocios da marinha e ultramar para cujo cargo fora nomeado por decreto de de outubro de constituiram em beneficio dele e dos seus herdeiros o peculio de cem contos de reis em açoes do banco do brasil como um sinal de gratidao a grande prudencia doçura e exemplar justiça de sua administraçao na bahia resoluçao que foi aprovada pela metropole com o decreto de de junho de,0
1899,é pois em sinal de profunda gratidao e homenagem que como artista brasileiro tenho a subida honra de dedicar este meu trabalho a excelsa princesa em quem o brasil reverencia o mesmo alto espirito a mesma grandeza de animo de dom pedro ii e eu a mesma generosa proteçao que me glorio de haver recebido do augusto pai de vossa alteza imperial,1
1899,salutation meu bom amigo doutor horacio cesar os coraçoes gratos e reconhecidos dao sempre sinal de se seja cedo ou demorado,1
