ano,sentenca,cluster
1856,insultou o meu nascimento plebeu forçoume a mendigarlhe a graça quando a rainha partiu e fiquei so em campo estas vergonhas heide pagarlhas com usura para morrer descansado,0
1856,salutation em tais grandezas viveu e nao ha maior consolo que mostralas a alma de hoje cheia de vergonhas de vencida e de soluços de morte,0
2002,no periodo de predominancia do neoclassicismo na arquitetura que opunha pureza geometrica e cromatica ao rebuscamento de formas do barroco fachadas entalhadas de algumas igrejas chegaram a ser cobertas de branco e telhados foram cercados com platibandas como a cobrir vergonhas nas palavras de tirapeli,0
2015,parecem mentir ainda mais quando suas vergonhas ficam nuas embora de costume nao tenham vergonha tal como mentiram no caso da escassez de agua e luz que parecia uma intriga da oposiçao ate outro dia,0
2015,vergonha das vergonhas,1
2015,como disse um amigo caipira hoje so lavei o suvaco o rego e as vergonhas,0
2015,vergonhas sao as partes pudendas,0
2015,quando ele foi posar para um fotografo oficial do parque ouviu que precisaria cobrir as vergonhas da estampa,0
2015,ali andavam entre eles tres ou quatro moças bem novinhas e gentis com cabelos muito pretos e compridos pelas costas e suas vergonhas tao altas e tao cerradinhas e tao limpas das cabeleiras que de as nos muito bem olharmos nao se envergonhavam,0
2015,e um amigo caipira hoje so lavei o sovaco o rego e as vergonhas,2
2015,nem mesmo a convulsao financeira aguda estaria garantida no caso de o congresso negar ao governo o dinheiro necessario para tapar as vergonhas das contas de,0
2016,uma das grandes vergonhas da minha infancia era que meus pais apesar de judeus eram ateus embora participassem e ate trabalhassem nas festas judaicas,0
2016,a atriz de anos tapa as vergonhas com frangos de borracha enquanto posa para a foto deste perfil e pergunta e a legenda vai ser o que,2
2016,falar sobre as suas inseguranças medos e vergonhas dividir com as amigas as coisas que voce esconde e a melhor maneira de perceber que outras mulheres tem o mesmo tipo de sofrimento,0
2016,quem sabe elas tambem se divertem e se libertam dos tabus preconceitos vergonhas e inseguranças com o proprio corpo,0
2016,apesar dos enormes gastos com a olimpiada em uma epoca de penuria da poluiçao da baia de guanabara da criminalidade da violencia da miseria social da zika da dengue e da chikungunya e de muitas outras vergonhas nacionais que nao sao exclusivas do rio a olimpiada gera grande expectativa,0
2016,analise adélia borges especial para a folha frequentemente nos brasileiros passamos vergonhas internacionais pelo desconhecimento de nossos gestores publicos e privados a respeito do papel que o design pode exercer em tudo o que o homem constroi dos objetos as marcas dos ambientes as roupas,0
2016,é um grande alivio saber que nao estou sozinha ja que inumeras brasileiras sentem os mesmos medos inseguranças e vergonhas,0
2016,hoje sei que posso compartilhar as minhas culpas e vergonhas que e importante dividir com outras mulheres os meus medos que brincar com minhas inseguranças pode ser uma maneira de superar o panico de ficar velha feia gorda invisivel e sozinha,0
2017,essas coisas assim triviais que sao pequenas vergonhas para o turista sem experiencia,0
2017,isso acontece porque os europeus da epoca tinham no vestuario nao apenas algo que servia para cobrir as vergonhas mas o maior indicador de identidade,0
2017,no pacote de vergonhas que assolam o pais o avanço da sifilis congenita e uma daquelas situaçoes que deveria tirar o sono de ministro e secretarios estaduais e municipais da saude,0
2017,à margem das vergonhas nacionais ha uma comparaçao que sugere argumentos para os fanaticos tanto contra ou a favor da reforma da previdencia,0
2017,carlos a duarte novaes mogi das cruzes sp renan calheiros para o senador alagoano uma das vergonhas da politica nacional ou as coisas sao como ele quer ou ele sera contra,2
2017,eram pardos todos nus sem coisa alguma que lhes cobrisse suas vergonhas,0
2017,vergonhas do psdb tambem,1
2017,ele quer fazer um programa de governo que realmente responda ao desafio imenso colocado pela exposiçao das vergonhas e possibilidades do brasil,0
2017,depois de formadas dividimos apartamento contas segredos frustraçoes vontades alegrias vergonhas e ressacas,0
2017,vemos jovens que estao atentos a essas vergonhas,0
2017,vemos jovens que estao atentos a essas vergonhas,0
2018,ok eu tou a passar vergonhas hj e nem faço anos,0
2018,daqui a um mes a mi faz anos e no entanto vai ter bastantes vergonhas em todas as redes sociais httpstcolrnhzlvh,2
2018,a passar vergonhas desde,1
2018,a diana so me faz passar vergonhas,0
2018,cambada de sem vergonhas exploradores,0
2018,uma vida baseada em passar vergonhas prazer e a minha,0
2018,a minha mae hj foi la cmg a mulher perguntoulhe a minha idade e ela disse so me faz passar vergonhas,0
2018,bom acho que ja e a hora de perder a vergonhas p pt armyselcaday httpstcogunszvzy,2
2018,vergonhas que tenho que parar de ter sair de rabo de cavalo ou coque espinhas algumas pessoas fitagem,0
2018,tava ate pensando em sair do anonimo mas tenho vergonhas putzz sei como e mas nao precisa ter pra falar comigo d httpstcosajxxev,2
2018,parabeeens a minha mae e melhor dupla q eu ja tive no volei por todas vergonhas q passamos e vezes que perguntaram sao irmas nao mae e filha giiovannassouza httpstconytksbpzk,2
2018,faz o teste bdsm e posta credo que delicia vo posta nao tenho vergonhas httpstcoubkihui,2
2018,so vergonhas,1
2018,tou bue feliz pk depois de todas as vergonhas conheci as pessoas da minha turma e elas sao grande cena,0
2018,luissss vergonhas,1
2018,essas podem ser vergonhas nostalgicas,0
2018,hoje tive a primeira aula no simulador ja passei vergonhas e ja n quero mais,0
2018,bangtansluv eu imagino da vergonha infelizmente carnes alguma dia vamos esquecer as vergonhas e vamos ficar com voces bbs,2
2018,jyn então tá tudo certo a gente tá marcado de ir pro hospital e os dois passar vergonhas,0
2018,o ruim de tentar dormir sem estar capengando de sono e que voce começa a lembrar das vergonhas do passado,0
2018,pra que conta de amigos se metade do mundo me ve a passar vergonhas,0
