ano,sentenca,cluster
2015,o rapper que em uma de suas musicas canta i got problems but a bitch aint one tenho problemas mas uma biscate nao e um deles esta enfrentando problemas com sua oferta a aspiro empresa sueca de streaming de musica,0
2015,o dueto martnaliaadriana calcanhoto em biscate e delicioso,1
2015,e esta usando esse conceito de uma boa moça para tachala de biscate por suas atitudes novas e insubordinadas porque ele nao as compreende,1
2016,a reportagem tambem ouviu xingamentos como biscate,0
2016,assim por ocasiao das recentes catastrofes como a de tchernobyl a do desaparecimento do mar de aral ou a da deterioraçao das florestas da polonia ou da tchecoslovaquia nao foram poucos os que se resignaram a um biscate tecnico mais ou menos confiavel para nao remontar as verdadeiras causas desses desastres,1
2016,o pedro ferreira que define sua orientaçao sexual como bi de biscate fala em direita transante e da necessidade de abandonar a imagem do conservador coxinha,0
2017,deixou o biscate para abrir uma loja em uma sala da rua buenos aires que se tornou uma especie de embriao para a escuta som criada em,0
2018,maytxfreitas q biscate biscoitera gt n da pra entender o pq de vc postar isso mas me manda umas outras pra eu usar de capa,1
2018,biscate de bandido de colarinho branco,1
2018,_mayarasccp e idiota e voce biscate,1
2021,ー nunca mais mesmo compare essa biscate com a minha mae alias que deus a tenha,1
