ano,sentenca,cluster
1802,arranjamos uma companhia entrando eu meu irmao varias criadas joao evangelista e luiz de os santos um original filho de o nosso copeiro e que a tudo se prestava grande carola grande ator e excelente homem e tratamos logo de ensaiar o manuel mendes doutor sovina e a castanheira fazendo os ensaios a as escondidas de o nosso mestre em os quartos de o segundo andar,3
1802,nao se podia dizer que meu tio fosse um bonito rapaz mas era um belo homem e teve essa reputaçao entre as senhoras tanto em a america como em a europa e as suas conquistas tanto em o rio de janeiro e sao paulo como em o hanover londres e lisboa eram bem conhecidas,6
1802,sabendo que seu filho estava em lisboa mandou lhe alguns fundos ordenando lhe que partisse imediatamente para londres porque ela nao podia sair de inglaterra sem ter ali um homem que lhe arranjasse os seus complicados negocios,6
1802,ali muitos fidalgos que ja nao existem e que nunca foram substituidos quer seja em referencia a a sua probidade e talento quer a a sua originalidade o famoso dom prior de guimaraes tio de o conde conhecido por a sua extrema bondade e graça e mesmo por as suas grandes distraçoes o senhor de pancas que ha pouco morreu irmao de o conde homem de grande instruçao graça e jovialidade completamente inoffensivo mas que a regencia julgou perigoso em portugal,3
1802,tinhamos nos um excelente guardaroupa chamado theodoro que tinha entrado a o serviço de meu irmao quando ele teria quatro anos educado em o convento de sao jeronymo de belem e de o oficio de armador excelente homem que perdemos ha poucos anos com muito sentimento nosso o qual nos arranjou em uma de as salas de bemfica uma perfeita catedral com trono paramentos e todos os acessorios para uma igreja bem ornada,6
1802,este fato concorreu para que eu sempre respeitasse muito o nobre e veneravel prelado conquanto eu fosse um de os descendentes de os perseguidos tavoras porque para mim a gratidao e a primeira qualidade de um homem de bem,3
1802,era um homem de sessenta anos magro palido cara comprida grande nariz olhos de o tamanho de ervilhacas cercados de uma aureola de sangue pestanas imensas excessivamente fanhoso e com uma risadinha perpetua vestindo uma sebenta batina chapeu triangular de grandes dimensoes sapatos com grandes fivelas meias de la pretas oculos de tartaruga e um volumoso breviario debaixo de o braço,3
1802,a primeira dama era um homem ja de certa idade torto de os olhos e o primeiro gala era gago,0
1802,queria tratar se por tu comigo e com meu irmao mas nos vendo um homem empoado tomando muito rape e com uma toilette semelhante a a de seu velho pai retribuiamos com timidez este amigavel tratamento,6
1802,nao se falava senao em nos mandar fazer sapatos de saltos encarnados e grandes fivelas de o que meu tio como homem de o mundo se ria muito dizendo nos para nos fazer zangar que tambem haviamos de ir de rabicho,6
1802,o conde de sabugal homem de sociedade poeta e dado a os prazeres de o mundo esqueceu entre a musica e os versos em o quartel general de junot duque de abrantes onde estava a duqueza a hora convencionada com os seus camaradas e quando chegou a o local ajustado ja eles tinham partido,1
1802,era um excelente homem mas as suas molestias o seu muito patriotismo e a grande zanga que tinha a os franceses faziam lhe perder a cabeça e considerava afrancesados o meu tio alorna toda a familia de minha mae a o abade e nao sei se tambem a nos apesar de crianças,3
1802,era sobrinho e pupilo de o regedor de as justiças conselheiro de estado e capitao de a guarda real era sobrinho de dom luiz de vasconcellos e sousa antigo vicerei em o rio de janeiro conselheiro de estado presidente de o erario e por o lado de minha mae tinha o marques dalorna homem importante em aquela epoca e reputado um de os generais mais distintos de o nosso exercito e o conde de a ega camarista de o principe regente e um de os seus protegidos casado com uma irma de minha mae,3
1802,meu tio era homem de excelentes maneiras estatura regular magro empoado e vestido com muito asseio,6
1802,concluirei por dizer que era um homem tao firme em os seus propositos e tao escravo de a sua palavra que sendo comendador de sao thiago e de varias ordens estrangeiras depois que saiu de a corte nunca mais as trouxe mas como em a qualidade de cavaleiro professo em a ordem de sao thiago tinha feito voto de nao largar a cruz de a ordem trazia a em todas as,6
1802,voltando se para o abade disse lhe chorar um homem as suas desgraças e fraqueza mas quando se chora de saudades por os parentes e bemfeitores e a voz de a natureza que fala pouco depois sentimos uma carruagem e descendo a escada encontramos a senhora de murça e sua filha com dona henriqueta irma de joao evangelista,6
1802,falava com facilidade todas as linguas e era um homem elegante e muito instruido,6
1802,quando estas tres senhoras entraram em a grande sala de o marques de lavradio precedidas por o capitao ajudante de campo de o velho marques de angeja jose vitorino de vilhena homem de mais de sessenta anos com a sua farda escarlate de estado maior de praça calçao amarelo meia de seda sapato com fivela de prata e cabeça empoada com grande rabicho rodeando o todos os circunstantes para lhe ouvirem os ditos espirituosos que lhe afluiam a os labios como antigo contemporaneo de o insigne poeta nicolau tolentino julguei eu e os meus camaradas que,6
