ano,sentenca,cluster
1812,nao era de minha ferida que eu gemia disse o enfermo porque a ferida do meu ombro e talvez pequena e nao mortal a grande ferida senhor doutor esta aqui,4
1812,este mortal cabeçudo era o senhor estevao personagem que ha pouco o narrador teve a subida honra de apresentar aos leitores,1
1812,o medico examinou o seu ferimento e reconheceu que nao era mortal e que o ferido em pouco tempo restabelecerseia sem mais demora a ferida foi pensada convenientemente e o enfermo mostrou algum alivio,5
1812,a feiticeira parou junto da fogueira cruzou os braços e murmurou palavras ininteligiveis despois saltou tres vezes sobre a fogueira lançando sempre o pe esquerdo primeiro feito isto fitou o painel e passado dois ou tres minutos de contemplaçao soltou tres gritos ou antes dos urros que fizeram arrepiar os cabelos ao senhor estevao e percorrerlhe o corpo um calafrio mortal,0
1815,quem primeiro deu mortal golpe nessa arvore jesuitica de frutos venenosos com que ate hoje nao poderam naçoes que se dizem mais fortes do que nos,4
1829,parecendo repousar em seu leito oculto e misterioso convidava o mortal de avesso fado a recordar suas penas nessa hora solene em que todos fatigados do quotidiano lidar recuperam nos braços de morfeu as forças pouco antes esgotadas e que todavia lhes sao ainda necessarias para bem desempenharem a sua missao ca na terra ate chegarem aos tenebrosos umbrais da eternidade,4
1829,feliz do mortal se pudesse parar abençoado amor se tivera um termo termo no seu principio,6
1836,parece ao que a maria amalia me tem contado que esse embaixador me tem uma inveja mortal,4
1881,és um fenomeno e aconselhote a que mandes cobrar um pataco de entrada a cada mortal que te contemple,1
1899,a cceca aqui e medonha ja perdi metade dos bois o cavalas en estado mortal e no alto certao os prejuizos sao enormes,0
1922,uma de osnizagueiro em pinhegas dandolhe uma tesoura dentro da area outra de vicentini em lima na iminencia de um tiro mortal do irrequieto meia rubro,3
1922,a produçao desceu e em janeiro seguinte o golpe mortal foi vibrado contra ela,0
1991,na paroquia de kamouraska condado de kamouraska distrito de quebec esposa de certo antoine tassy no quarto dia de janeiro do segundo ano do reinado de nossa sobeana rainha vitoria pela graça de deus do reino unido da gra bretanha e irlanda defensora da fe com força e armas na paroquia acima citada no condado tambem acima citado premeditada malevola e ilegalmente misturou veneno mortal a saber uma onça de arsenico branco com uisque conforme dito no mesmo dia e ano acima mencionado no condado citado criminosa premeditada malevola e ilegalmente ministrou o e fez que o mesmo fosse tomado pelo dito antoine tassy nesse tempo sudito de nossa soberana a rainha com o proposito de ao proceder assim criminosa deliberada e premeditadamente envenenar e assassinar o referido antoine,3
1991,enquanto o frio cumplice se insinua e propoe sua paz mortal,3
1994,o tiro mortal segundo souza atingiu a base superior da nuca de cruz,5
1994,nestes dias o idolo de rock liam oasis da vida em cada polegada o artista tradicional solitario e romanticamente sofrendo no palco esta em combate mortal com alguma coisa distribuida cambiante mills e x ur axis e nao de todo humana,3
1994,segundo ele o tiro mortal tinha atingido a cabeça do sindicalista,4
1994,uma alteraçao num unico gene e capaz de transformar um virus inofensivo no agente causador de uma gripe mortal,3
2000,dava pena ver tanto carro que ainda poderia ser usado ali largado ao relento sendo carcomido pela ferrugem provocada pela alta salinidade que vinha do mar invencivel e mortal adversario do ferro,4
2000,nenhum dos moradores proximos ousou ir ao local para verificar a ocorrencia tinham medo mortal de fantasmas hostia e vinho de missa o diabo quando tem fome come mosca,4
2000,de resto nos cabe esperar que o conhecimento do genoma humano e de suas fracas variaçoes entre etnias de um golpe mortal em certos argumentos racistas,6
2001,houve aumento de internaçoes de idosos por doenças circulatorias relacionado a altos niveis de monoxido de carbono que diminui a oxigenaçao do sangue e pode ser mortal em ambiente fechado,3
2001,era mortal,1
2002,a publicaçao prematura desfecha um golpe mortal sobre qualquer perspectiva de comercializaçao futura disse,0
2002,de outro os paises subdesenvolvidos parecem ter entrado numa luta mortal por enquanto relativamente bemsucedida para reduzir o monopolio patentario dos paises ricos principalmente nas areas da biotecnologia e da industria farmaceutica,3
2002,pesquisa fapesp ediçao fevereiro ciencia medicina cerco a proteina mortal grupo da ufrj abre caminho para compreender e deter a reproduçao do prion que destroi cerebros e mata prion e uma proteina que se multiplica como um ser vivo produz uma doença incuravel no cerebro e leva a morte,3
2003,tao logo percebe que um dos quase movimentos distintos que realiza deu resultado e chamou a atençao da dona da teia a papamoscas passa a repetir apenas os passos bemsucedidos ate que sua presa ingenua chegue proximo o suficiente para receber um ataque mortal,4
2005,tera que evitar o perigo do abraço mortal do apoio conservador que ao lhe dar base de governo pode lhe descaracterizar o programa,6
2005,em maio ultimo essa narrativa passada de geraçao em geraçao sofreu um golpe mortal pesquisadores do centro de estudos do genoma humano e do hospital das clinicas da universidade de sao paulo usp definiram o estranho mal dos serrinhenses na revista annals of neurology como uma doença neurodegenerativa provocada por mutaçao num gene que se encontra numa regiao do cromossomo ate aqui nao associada a qualquer enfermidade neurologica,3
2005,da noite para o dia estava infectada por uma doença mortal da qual nao sabia nada,3
2006,novamente ele agradeceu em respeitoso silencio a santos dumont por ter dado o passo inicial para que o homem pudesse fugir de tudo e de todos com a mortal rapidez que ate entao somente deus com seu chamamento a eternidade e o diabo com o arsenal de armas de exterminio que fez seus parceiros inventar tinham a liberdade de utilizar a pressao da arremetida jogou o corpo de anibal para tras empurrando o com força mas de maneira agradavel diria ate carinhosa contra a maciez do estofado da cadeira,3
2006,imaginava que talvez as praias ainda estivessem desertas e poderia escorregar nu rolando nas dunas de areia preparando se para aquele salto mortal da infancia executado com a majestade de um trapezista cuja queda final era um mergulho diretamente nas aguas frias do rio,4
2006,esse jogo nao implica necessariamente rivalidade mortal dos polos opostos de tal modo que um sobreviva a custa da exclusao do outro,1
2006,e todo momento antecipatorio todo momento em que o novo se apresenta de alguma forma se intui o espirito humano tem diversas atitudes mas ha duas fundamentais a primeira e ousar atirarse num duplo salto mortal sem rede no vazio e voar,1
2007,idoso ou da melhor idade ou da juventude acumulada quaisquer que sejam os eufemismos da direita ou da esquerda veras que a idade da experiencia da sabedoria da juventude acumulada diz o otimista e a idade da dor aqui dor acola insuficiencia cardiaca insuficiencia renal mal de alzheimer mal de parkinson diabetes e a idade do junta junta tudo que nao presta num pobre mortal por isso resolvi deitar umas ideias no papel e enviar para o nosso criador,6
2007,anunciou a data dos seus anos sacerdotais e o desconforto a priori de uma palida cerimonia duma fraca recepçao é sabido que sua ordem religiosa dispensa o fausto a suntuosidade e propugna pela humildade e pelo simples mas nenhum mortal dispensa o afeto o reconhecimento e a solidariedade moral sao combustiveis que renovam a vontade de caminhar e construir,3
2008,embora nao tenha sido uma epidemia a raiva era sempre mortal quando alguem era atacado por um cachorro infectado disse hildebrando,3
2008,pesquisa fapesp ediçao abril ciencia capa drama mortal nova linhagem de bacteria resistencia a medicamentos pobreza e interaçao com aids agravam quadro da tuberculose carlos fioravanti no mes passado ganharam o mundo dois estudos que mostram quao dramatico e o quadro de uma das doenças mais temidas da humanidade a tuberculose,3
2008,para ficar apenas em alguns exemplos das ultimas decadas do seculo xx podemos lembrar da aids de uma infecçao mortal causada pelo virus ebola na áfrica ou a forma humana do mal da vaca louca na europa desde os ultimos anos da decada de avançando pela primeira decada do seculo xxi,4
2009,de certa maneira e por conta desse processo artur recria mais uma vez o simbolismo da criança coisa que se tenha nesta vida mortal deve se entregar a nosso senhor para se ter como provar da outra boron,3
2009,entretanto entre as condiçoes para que a fada despose o mortal esta em o marido nao tentar ve la um dia por semana geralmente aos sabados,3
2009,a figura da melusina transpoe a barreira do mundo magico e toca o mundo real pois ela se torna senhora da magia que se casa com um mortal concedendo lhe inumeras benesses mas nao se pode esquecer que ela traz o local onde a melusina costuma ser encontrada pelo seu cavaleiro corrobora com a historia social que ve na bruxaria e na figura da bruxa elementos que acompanham a questao do campo e do mundo rural,0
2009,observe se a estrutura tripartida da narrativa que apresenta claramente tres topicos principais sendo eles o encontro do mortal com a fada o pacto que os dois realizam e a violaçao do pacto que invariavelmente e provocada por um invejoso da felicidade que impera sobre o casal,3
2009,todo esse enredo revela o que a figura da fada representa no imagi nario medieval a encarnaçao de um sonho de amor entre um mortal e uma mulher sobrenatural especie de deusa mae divindade que representa a fecundidade,4
2009,a traiçao era um pecado mortal na idade media digno de ser punido com o calor das profundezas infernais,0
2009,a vida continuava sem que nada de diferente fosse notado entre os familiares e amigos de raimundo aparentemente o desaparecimento semanal da jovem senhora do castelo era visto como normal e em meio as lutas da vida cotidiana raimundo acusou um nobre da regiao de traiçao pecado mortal dentro do imaginario medieval,0
2009,segundo o codigo de etica do feudalismo a quebra da homenagem e do juramento de fidelidade constituia num pecado mortal que condenava seu praticante as penas arduas do inferno,4
2009,elementos epifanicos fundamentais estao ai presentes desde o seu começo a visao transfigurada o deslumbramento da beleza mortal a contemplaçao o silencio sagrado o som dos sinos do sono a explosao de alegria profana a revelaçao da vida o arroubo a apariçao do anjo a gloria melo,3
2009,sá p o deslumbramento da beleza mortal no bonde ana leva alguns ovos para o jantar da familia,2
2009,essa dama possuia um gaviao e se algum cavaleiro de nobre origem conseguisse vigia lo durante tres dias e tres noites ela lhe apareceria e satisfaria um desejo seu qualquer coisa que ele pedisse referente a um bem do mundo mortal salvo o corpo dela salvo o pecado da carne,1
2009,o fundamento mitico dessa historia tem um forte cunho psicologi co pois a fada garante ao ser humano uma compensaçao em relaçao as adversidades que o mortal sofre durante sua vida e tambem em relaçao ao medo da morte,5
2009,a presença desse ser magico convivendo com um homem comum significa a perspectiva da imortalidade sendo oferecida como uma dadiva da qual o mortal podera se aproveitar se souber como fazer,0
2009,quando se casam com um mortal elas passam a pertencer ao mundo mortal mas continuam como parte inte grante de uma realidade que transcende aquela que as abrigou,4
