ano,sentenca,cluster
1802,lembro me de que saindo meu tio de a sala onde estao hoje meu retrato e o de a marquesa dirigiu algumas palavras que eu nao percebi a os velhos criados de meu avo e de minha avo sua irma as quais foram ouvidas com prazer recebendo nos logo que meu tio partiu muitos parabens beijos e abraços de toda a familia e iluminando se a capela que ainda hoje existe em o fundo de a varanda para a,0
1802,podia ainda hoje fazer o retrato de ele o que julgo inutil porque e bem conhecido e descrever os uniformes que como todos sabem eram muito diferentes de os atuais,1
1812,para completar o retrato moral deste personagem releve o leitor que lhe digamos que o senhor estevao era usurario,0
1815,um nobre curvandose ao tiranete a ponto de ter o seu retrato na sala de visitas em sinal de afeiçao,0
1826,mas como quer que fosse era o retrato de sua mae favorecido pela palheta de artista caprichoso que desadorasse as fortes e vivas cores das formosuras do campo era josefa de santo aleixo depois de respirar em dez invernos o ar do teatro de sao carlos e em dez estios o ar latrinario dos passeios de lisboa,0
1826,este conego cujo retrato eu vi ha dias em braga na galeria dos benfeitores do hospital de sao marcos nao era como se ve um estrenuo defensor do santo oficio nem acreditava nas invencionices de bernardo de brito mas dava aos pobres invalidos e enfermos parte de suas rendas e estimulava como ha pouco presenciamos a caridade dos seus hospedeiros amigos em beneficio da enjeitada,0
1830,sessao de de agosto apresentou o senhor socio joao theadorio da solidade rico quadro de jacaranda envernizado com fios dourado obra esta muito bem acabada para o retrato de sua majestade o imperador a valuado em mas o mesmo socio sendo o artista que fez nada quis pela maodeobra so pediu a socie dade que pagasse as madeiras e o vidro assim como o senhor socio pantaleao vilas boas tinha o ferecido o retrato tambem gratis,0
1830,reis todos os meses pediu palavra o socio manoel francisco e disse quero senhor presidente que vossa senhoria me dei esclarecimento a respeito do retrato que a sociedade comprou e o socio narcizo se tinha oferecido para fazer o quadro respondeu o senhor presidente que ai estava o senhor presente e a vista desta representaçao que respondesse para inteligencia da socied ade disse o socio narcizo que nao fez o quadro porque estava esperando que se tratasse nisto pois disseram que devia ser dourado por essa razao e que,0
1830,padoeira que enquanto a casa arranjasse como pudesse pediu a palavra o socio severiano e disse em vista da sociedade nao teve a felicidade do senhor tesoureiro prestar conta como sua senhoria manifesta e por isso e que eu falo que se deve fazer o festejo com o dinheiro que existe deu um aparte o socio manuel leonardo pergu ntando ao tesoureiro se o retrato de sua magestade se ficava assim mesmo respondeu o socio tesoureiro que nao sabia que o socios e quem sabia que o ano passado gastaram mil reis pediu a palavra o socio caetano e disse ao senhor presidente que o senhor tesoureiro quisesse falar que pusesse outro em seu lugar para nao ser uma anarquia para nao se dizerem que o socio vem desmoralizar,0
1836,ja nao digo de mim mesmo porque eu e que nunca olharia para o meu retrato em semelhante feitio,0
1836,dizes tu que o meu retrato tem o meu ar de quem imagina conquistar mulheres,1
1836,de jaqueta de curro de boina e de alpargatas sem gravata ao pescoço isso sim que hei de tirar um retrato bem de castella como recordaçao desta epoca da minha vida,0
1836,e sarah bernhardt num retrato dela que me deu pos esta dedicatoria a mon cher grand ramalho son amie sincere grand para um pobre obscuro diabo que chega dai da trapeira dos caetanos a tao alto meio intelectual como aquele em que ela vive quando nao queira dizer outra coisa favoravel para o meu espirito e pelo menos uma bem expressiva e tocante amabilidade superior a grao cruz do,0
1836,neste caso eu desejaria que ela expuzesse o retrato da criada o costume de vianna e o pandeiro com mais alguma coisa que ainda possa fazer de novo ou que acabe como por exemplo o teu retrato,1
1836,os pequenos a vista de um retrato de capa que eu lhe mandei exclamam comme oncle ramalho est grand,1
1836,todas as senhoras trazem mantilha agora inteiramente a andaluza como a do retrato que te mandei com cravos brancos e cor de rosa ao peito e na cabeça,0
1836,hasde lembrar de termos visto ai a porta do fotografo nogueira um retrato que eu sempre cuidei ser da benedicta resende,0
1836,pergunta ao nogueira de quem e esse retrato que tanto me surpreende eu ter tomado por o de uma pessoa de quem ele nao e depois de amanha principia a feira em vila viçosa onde eu nunca estive que desejava muito ver e para onde tenho um passe do caminho de ferro,0
1842,entao como vai o teu retrato,1
1842,character leonardo nao te falo do retrato falote do pintor,1
1842,cena i luiz mariquinhas leonardo e josé felix ao levantar do pano luiz proximo da janela tendo diante de si um cavalete desenha o retrato de mariquinhas,0
1842,tire nesse caso o meu retrato,1
1845,has de tirar para isso um retrato,1
1845,uma das melhores coisas que se tem feito e o retrato de julio cesar por momsen se o leres achas la o processo claramente executado,1
1845,ainda bem que as senhoras se nao esqueceram do retrato prometido,1
1845,as senhoras vao tirar se nao tiraram ontem o prometido retrato,0
1876,manuscritos e volumes a dos advogados com mil volumes remontando a sua criaçao a e na qual o nome do seu fundador elienne gabriau se destaca em uma placa a do colegio da frança com o retrato do duque de vrilliere o seu criador e que iniciada modestamente em possui hoje volumes a da municipalidade estabelecida por monau como a nossa parcamente contem presentemente mais de,0
1899,salutation ilustrissimos excelentissimos senhores venho cumprir a promessa do retrato a oleo de dona catharina de paraguassu para ornar o salao da intendencia municipal da bahia nutrindo eu a esperança que este meu ato sera do agrado e apreço de vossas excelencias o conhecimento do vapor paraguassu _ que leva o caixote vai incluido nesta minha missiva,0
1899,soube entrançar com elas a mais linda moldura que eu poderia desejar para o retrato que sua terra ofereceume,1
1899,entre aqueles que nao viam em ti nem o distribuidor de graças nem o governador em perspectiva da eminencia culminante neste pais embora com todos os versos te exaltem ate onde votos leves e fervorosos possam levantarte nao para que por ti havemos porque te vejam galardoados os muitos que ha muito te reconheceram e impuseram a propria imitaçao como diz a placa daquele retrato que o papf tao lisonjeiramente pincelou e sentese ainda repassado dos olhares demorados e enamorados do primeiro hospede de casinha de payandes quando no salao passeava o seu enfado ou recebia os cumprimentos dos muitos e ultimos engraxadores,0
