ano,sentenca,cluster
1802,chegando a a intendencia pede o auto de exame de a fatal maquina e acha se com a descriçao de uma tripeça inglesa com as suas duas bombas,1
1802,principiou agradecendo lhe a polidez de a sua visita apresentou lhe os netos e todas as pessoas presentes fez lhe um exame vago sobre os melhoramentos de o palacio de a ajuda repetiu lhe uma quantidade de sonetos e odes a os nossos feitos em as campanhas peninsulares e sempre que o pobre de o corregedor queria cumprir a sua missao era interrompido ate que por fim conhecendo a mangaçao tomou o seu lugar e disse senhora condessa eu agora falo aqui em nome de elrei,1
1802,fez nos a os tres netos um exame vago sobre teatro frances de que nada sabiamos e argumentou com os nossos mestres que ficaram admirados de o seu talento e saber fazendo tambem improvisar em italiano o velho talassi,1
1829,com um pessoal mui limitado e sem a presença de muitas notabilidades suas nao tem podido andar em seus trabalhos senao com passo timido e retardado e nao tem ousado entrar no exame de algumas questoes de grande interesse medico reputandose mal esclarecida por suas proprias luzes,2
1829,na mesma hora o senhor administrador do hospital a quem havia rogado o favor de inteirarme de tudo o que se passasse a respeito deste doente teve a bondade de comunicarme a morte do enfermo e franquearmelo para um exame anatomico patalogico,1
1829,este naturalista tomou uma planta e nela fez um minucioso exame anatomico a planta foi a mimosa pudica de lineu de que falei,1
1829,apos o conhecimento das causas o medico deve examinar as partes acometidas porque deste exame pode ele tirar induçoes mais ou menos importantes pois que sabese que tais e tais meios aproveitam mais segundo a textura composiçao forma relaçoes conexoes existencia e funçoes dos orgaos,2
1829,do exame conclui que era uma lupia assaz volumosa e que eu me achava disposto a praticar a extirpaçao dela,2
1830,foi entregue e lido pelo o º secretario o parecer do senhor olavo teixeira serafim membro da vistoria nomeado para o exame do predio a rua do cruzeiro de senhor francisco compareceu o º secretario o senhor presidente mandou ler a ata da sessao anterior a qual posta em discussao foi rejeitada por haver nela algum equivoco pelo o que o senhor presidente mandou que o º secretario fizesse as emendas precisas para ser discutida na proxima sessao tendo decorridose dias e nao tendo a maioria,1
1830,apoiado sobre o socio dizer que ele tambem sofreu o mesmo mas que ele sofreu somente por mensalidades e seu penhor e o presidente deu a ata por aprovada e mandou ler o artigo º º º º e º dos estatutos depois de lidos pediu a palavra o socio cirne e disse que se no measse comissoes sendo ª de sindicancia ª de exame ª de contas e outra ª de justiça com urgencia e pediu mais a leitura dos paragrafos º do artigo e que de conformidade com estes º e que requereu pediu o socio manuel leonardo esclarecimento e disse que se fosse o requerimento de alguma caso urgente bem mais que tendo socio doente e entrado que podia adiar e deu um aparte o socio,1
1836,bastalhe o exame da instruçao primaria que ja fez o de frances e terceiro ano de portugues que pode fazer ja para ser recebido na armada,0
1845,conhecem seus vicios seja esta eva moradora na companhia de sua mae conciencoza em nao consentir que sua mae arraste para o abismo da prostituiçao sua desventura filha moradora da rua da alfandega em vista da queixa dada a policia lida contra o principe oba e tudo falso e para verse que eva e donzela ou loa e justo que esta nao renuncie o exame medico legal da policia i si renunciar sera tida como uma loa mentiroza e preverça porque incurtar os dias de existencia da infeliz eva vitima dos prejurios que a querem comprometela,1
1856,o que concluistes do vosso exame,0
1876,se nao forem dados por verificados os creditos nomearao os credores nao contestados uma comissao de dois ou tres membros para proceder ao devido exame podendo suspenderse a reuniao por algumas horas ou adiarse para dai a dias nao excedendo de oito independente de nova convocaçao pela imprensa,3
1876,o que asseguramos ao publico tanto da bahia como de todo o pais e que as reservas da educadora tem sido contadas com rigor excessivo ate e que nao pomos duvida em mostrar a qualquer segurado acionista ou representante da imprensa toda a nossa organizaçao tecnica todos os seus registros todos os documentos que possam instruir esse exame,3
1876,para isto e sem que me perturbe o ladrar da canzoada calculadamente estumada sobre mim hei de continuar com o exame perante a lei de todos os pontos que tenho atacado e patentearei com peças dos autos que hei de transcrever e com argumentos que aduzirei que o despacho do doutor machado pedreira do qual agravei so podia ser determinado pelo animo deliberado de conculcando a lei praticar ciente e conscientemente flagrante injustiça,0
1876,pedro lago title a justiça do atual juiz de direito de cachoeira title x àqueles que me tem dado a honra de acompanhar esta serie de artigos hao de ter apreciado pelo exame dos fundamentos da minuta do agravo que interpus e que publiquei no numero anterior deste jornal que de toda a justiça e procedencia sao eles e que o proceder do doutor jose machado pedreira foi o mais incorreto e ilegal para nao dar o nome que merecem os atos francamente atentatorios a lei perpetrados por aquele juiz,1
1876,depois de ligeira discussao entre mim e os demais credores especialmente o negociante jose gonçalves de oliveira reis representante da firma francisco cardoso silva c cujo credito de preferencia impugnei o doutor juiz preparador de sao gonçalo presidente da sessao tomando conhecimento de acordo com o do artigo do decreto de de outubro de mandou que se nomeasse a comissao para proceder ao devido exame sobre a impugnaçao oferecida e dar parecer sobre o procedencia ou improcedencia da mesma,1
1876,nao ha duvida fazer de decisoes judiciarias que devem ser proferidas de conformidade com a lei produto de refletido e criterioso estudo resultado do exame severo e imparcial das razoes que possam pro ou contra militar mero jogo de meninos proferindoas e cassandoas com uma versatilidade infantil e patentear o grao de intuiçao que tem da missao de que esta investido e da ideia que forma da sua respeitabilidade,3
1876,tendo o juiz que presidia a sessao havido por verificados os creditos de acordo com o disposto no artigo do decreto de de outubro de convidou ao curador fiscal e sindicos provisorios a apresentarem o balanço o inventario o exame de livros e o seu parecer a fim de procederse aos ulteriores termos do processo,3
1876,prosseguirei ainda na analise do ponto em exame tomando na devida consideraçao as alegaçoes outras a ele referentes e aduzidas pelos agravantes em sua minuta de agravo,3
1876,antes de mais nada importa por em relevo uma circunstancia essencial ao caso sujeito a exame e que entretanto julgaram os agravantes dever calar qual e a de que os signatarios do requerimento pre indicado externaram nele desde logo a sua formal oposiçao ao modo como fora feita a reduçao a moeda brasileira do mencionado credito para os efeitos da dita eleiçao de de março deste ano,3
1876,ora se a lei peremptoriamente determina o meio pelo qual se ha de procurar reparaçao aos diretos ofendidos com o fim de evitar tumulto e inversao na ordem natural do processo e mais que materia de alta relevancia decidida nao seja sem que sofra o exame e estudo por que passaria em uma açao regular como se podera conceber que decisoes tomadas em assembleia de credores com o assentimento de todos revogadas fiquem por uma simples petiçao sem que seja pelos meios e turnos legais,3
