ano,sentenca,cluster
1999,bem controlado ate o cancro citrico explodiu a partir dai ver box no rastro do aparecimento da lagarta ou larva minadora na area de plantio,0
2000,os preparados com obacillus thuringiensis umas das bacterias mais importantes para o controle de diversas especies de lagarta que devem movimentar das vendas de bioinseticidas em todo o mundo aproximamse no brasil de toneladas e geram uma receita de us milhoes,0
2000,com essa preocupaçao a equipe do biologico formulou ja em um bioinseticida oleoso com obaculovirus anticarsia que apresentou uma eficiencia superior a no controle da lagarta da soja,0
2000,por fim obacilus thuringiensis controla diversas especies de lagartas entre elas a lagarta da soja e a traça do tomateiro,0
2000,obaculovirus e o virus de um dos maiores programas de controle biologico do mundo no combate da lagarta da soja uma praga que come a folha da planta e faz a produçao despencar,0
2000,mas esse metodo assim como os inseticidas tem suas limitaçoes as mosquinhas so funcionam quando a lagarta esta exposta,0
2000,terra procura agora fazer com que a lagarta expresse todo o repertorio de enzimas ate que possa encontrar um inibidor eficiente para todas elas,0
2000,o inibidor de tripsina de soja adicionado pela equipe da usp a sua dieta nao foi eficaz simplesmente porque a lagarta produzia novas enzimas que escapavam de seu poder,0
2000,essa constataçao explica por exemplo por que os cristais da toxina dabacillus thuringiensis umas das bacterias mais importantes para o controle de diversas especies de lagarta sao efetivos somente se diminuirem de tamanho depois de parcialmente digeridos no interior da membrana peritrofica,0
2000,outros insetos selecionados para estudo sao considerados mais evoluidos como as mariposasspodoptera frugiperda cuja lagarta e praga de soja e milho eerinnyis ello cuja lagarta ataca a mandioca,0
2001,os projetos determinaçao dos parametrosde coagulaçao e fibrinolise no plasma de pacientes acidentados por contato com lagarta lonomia obliquae proteinas de venenos animaisque interferem nos mecanismosde coagulaçao e fibrinolise analisede interaçoes com receptores celulares modalidade linha regular de auxilio a pesquisa coordenadora ana marisa chudzinskitavassi instituto butantan investimento r,0
2001,pesquisa fapesp ediçao agosto ciencia bioquimica veneno de taturana contra trombose isolamento de proteina do veneno de lagarta que causa sindrome hemorragica pode levar a medicamento anticoagulante pesquisadores do instituto butantan conseguiram isolar e clonar o componente responsavel pelos acidentes de sindrome hemorragica que ocorrem no sul do pais devido ao contato com a taturana lonomia obliqua,0
2001,sobrevem dai as hemorragias que nos acidentes com a lagarta podem ate levar o paciente a morte por complicaçoes renais e cerebrais,0
2003,a relaçao de produtos em fase de pesquisa e imensa vai desde o algodao geneticamente modificado imune a insetos como a lagarta e o bicudo passando pelo milho batata e o mamao ate chegar ao feijao resistente aos virus que consomem as lavouras e a renda dos produtores,0
2003,a embrapa ainda nao tem pronta a planta modificada com o gene do bacillus thuringiensis bt que esperase a tornara resistente ao ataque da lagarta ou bicudo,0
2003,o mecanismo evolutivo preparou o parasitoide para nao matar a lagarta rapidamente,0
2003,dieta especial o controle biologico da broca e feito com uma pequena vespa importada acotesia flavipes que parasita a praga no estagio de lagarta,0
2003,a produçao dessa lagarta na bug começa com uma dieta especial com proteinas vitaminas sais minerais carboidratos e lipidios depositada em um meio gelatinoso agar,0
2006,pesquisadores da universidade federal de viçosa ufv em conjunto com a equipe da embrapa cafe procuram genes associados ao controle da ferrugem causada pelo fungo hemileia vastatrix que deixa manchas parecidas com poeira nas folhas que secam e do bichomineiro leucoptera coffeella lagarta que ataca as folhas derrubandoas,0
2006,a pesquisa realizada na esalq tinha desde o inicio o objetivo de identificar na cana promotores de genes que eram ativados apenas quando a planta fosse atacada pela lagarta,0
2006,nos dias e de outubro foram apresentadas em sao carlos sp dezenas de experiencias ligadas ao programa desde a observaçao de fenomenos naturais como a transformaçao do girino em sapo e da lagarta em borboleta ate a construçao de prototipos de foguetes usando sucata,0
2009,se forem reais as mudanças climaticas podem ser boa noticia para o girassol deve diminuir a sobreposiçao entre a lagarta e as areas adequadas para o plantio das flores amarelas ricas em oleo,0
2010,os habitos alimentares parecem estar intimamente ligados a essa diversificaçao a partir de borboletas africanas especializadas em se alimentar durante a fase de lagarta das folhas espinhudas e cheias de toxinas das urtigas,0
2011,o brasil e o terceiro produtor mundial desse fio extraido de casulos da lagarta bombyx mori,0
2011,é o caso da lagarta de mariposa que vira baba dos casulos das vespas que se alimentaram dela na fase larval estudado por um grupo holandes da universidade de amsterda em colaboraçao com pesquisadores da universidade federal de viçosa ufv em minas gerais liderados por eraldo lima e angelo pallini,0
2011,as larvas saem por furos que fazem na lagarta que permanece junto aos casulos ate o final do desenvolvimento da vespa segundo artigo de na plos one,0
2011,é possivel que larvas que permanecem vivas dentro da lagarta puxem os fios da marionete mas nao se sabe como,0
2015,o cd deste volume reune a historia narrada as cantigas lagarta pintada e marcha soldado,1
2015,o professor de ciencias havia explicado naquela tarde como uma lagarta virava uma borboleta,1
2015,a saga da ingenua menina que se perde em um mundo subterraneo de fantasias onde encontra poçoes magicas que alteram o tamanho um gato risonho uma lagarta fumante e a rainha de copas teve inicio num passeio de barco na oxford de,1
2015,por exemplo uma lagarta cresce mais de mil vezes seu proprio tamanho,1
2015,o contrabando chegou ate a mesa o uso ilegal de herbicidas pesticidas e fungicidas em plantaçoes de alimentos avança com a escalada de preços e o recente ataque de uma lagarta de dificil controle segundo o sindicato nacional da industria de produtos para defesa vegetal,0
2015,o mestre japones do cinema de animaçao hayao miyazaki anunciou nesta segundafeira que esta trabalhando em um curtametragem que conta a historia de uma lagarta,1
2015,me dedico atualmente a um projeto de desenho animado sobre uma minuscula lagarta que vive sobre uma folha uma lagarta tao pequena que uma sacudida pode acabar com sua vida disse o diretor de anos,1
2015,a lagarta se defende com uma substancia irritante secretada pelos seus pelos,0
2015,na semana passada o diretor disse estar trabalhando em um curtametragem digital que conta a historia de uma lagarta,1
2015,ao falar sobretudo isso em afirmei que matariamos a borboleta azul e sobraria a lagarta vermelha aquela que se transforma na melhor das hipoteses apenas numa mariposa cinza,1
2015,certos poemas transformam animais em personagens como o cao nicolau e o pinguim heitor outros glosam os habitos dos bichos caso do galo carijo que quer ser cantor sertanejo ou aproveitam caracteristicas da morfologia animal caso dos versos sobre a borboleta que e uma lagarta de asa delta e sobre o cavalo marinho que encaracola o rabo sacode o focinho mas sabe que e peixe e nao cavalinho,0
2015,entre seus novos projetos alem do parque ele anunciou em julho que faria um curtametragem sobre a historia de uma lagarta que deve demorar tres anos para ficar pronto,1
2015,sequencia do sucesso de dirigido por tim burton que faturou mais de us bilhao pelo mundo o novo longa tambem ve o retorno de johnny depp chapeleiro maluco helena boham carter rainha vermelha anne hathaway rainha branca michael sheen coelho branco alan rickman lagarta e stephen fry gato risonho,1
2015,qual era a ideia de piero em pintar uma lagarta cujo adulto exibe o simbolo da morte numa cena religiosa como essa,1
2015,e a unica virgem com o menino que retrata uma lagarta mais precisamente de mariposa caveira segundo um entomologo da ufrj,1
2015,durante duas semanas a lagarta devora os botoes das flores da planta ate que uma noite cai no chao,0
2015,em seguida a lagarta e adotada por uma formiga vermelha do genero myrmica,0
