ano,sentenca,cluster
1802,tambem nos levou uma vez a os touros e muito nos horrorizou ver matar a a espada,0
1802,a maior parte de o tempo nem espada trazia,0
1802,a originalidade de os uniformes espanhois em aquele tempo e a caricata figura de o comandante de a divisao o general carafa que era quase anao e montava em um grande cavalo com um imenso chapeu e penacho correndo as fileiras de espada em a mao dando vivas nao sei a quem fizeram com que eu e meu irmao representassemos por muito tempo as cenas que haviamos presenciado,0
1802,aproximou se a testa de a coluna e vimos a a sua frente dom joaquim de saldanha que aproximando se de a janela onde estavam minhas tias e abatendo a espada perguntou querem alguma coisa de baiona minhas senhoras,0
1802,nunca fui a o paço sem espada porque nunca fui moço fidalgo tendo gozado desde a idade de cinco anos as honras de grande de o reino,0
1802,esteve em em a tomada de azamor e foi depois governador de arzilla onde morreu em sendo chamado por as suas façanhas o espada cortadora oitavo neto de dom fernando mascarenhas de o conselho de elrei dom sebastiao comendador de o rosmaninhal e que morreu em a batalha de alcacerquivir em de agosto de setimo neto de dom manoel mascarenhas de o conselho de elrei um de os poucos fidalgos que tendo acompanhado elrei dom sebastiao a áfrica conseguiu voltar a a patria depois de ser ferido e,0
1802,sua alteza costumava fazer sempre a mesma pergunta a as crianças que em a minha posiçao lhe eram apresentadas e era ela para que lhe serve a espada que traz a a cinta,0
1802,jantava em o mesmo quarto de meu tio em uma mesa pequena e andava vestido com uma farda encarnada bordada a ouro botas esporas a a picador chapeu armado agaloada e espada a a cinta,0
1802,a retirada foi tao precipitada que a espada de dom affonso henriques que esta sobre o seu tumulo em coimbra ficava em poder de os franceses se nao fosse um soldado de cavalaria e a coroa e espada de dom joao i que estavam em a batalha foram salvas por um amigo meu o coronel que ha pouco morreu general,0
1802,a noiva levava um magnifico e brilhantissimo vestido e o noivo que deixou em esse dia o seu uniforme militar ia vestido a a corte e coberto de brilhantes porque apesar de a grande quantidade de eles com que presenteara a noiva ainda lhe ficaram bastantes para guarnecer o punho de a espada fivelas de os sapatos abotoaduras de a casaca e punhos presilha de o chapeu etc,0
1802,pediu a pedro lopes calheiros que a acompanhasse em a mesma carruagem levando a sua espada e pistolas o que ele fez e quis que os criados de a carruagem fossem armados a o que joao evangelista anuiu para a tranquilizar,0
1802,as senhoras casadas usavam todas em este ato grandes donaires e caudas e o parente mais proximo de menor idade e que lhes servia de caudatario indo vestido a a corte mas sem espada como usam os moços fidalgos em o paço,0
1802,montava em um belo cavalo trazendo o habito arregaçado e so tinha de uniforme militar o chapeu armado com galao de ouro e plumas e a espada,0
1812,pedro caiu gritando acudamme que morro boa espada,1
1812,jose pachola vendo o mandingueiro querer armarse investiu com ele e desandandolhe um golpe fez voarlhe ao ar uma orelha a espada desceulhe ao braço aonde abriu um tremendo golpe,0
1812,isto dizia para o outro meirinho que se escoava por detras dos tres e como assim tivesse falado quis arrancar a espada ao senhor chico ignacio que procurando a porta rosnava quem as armou que as desarme,0
1812,os quatro recuaram timidos e medrosos mas mandingueiro recobrandose do primeiro impeto disse ah senhor chico ignacio de que diabo lhe serve essa espada homem,0
1812,jose pachola curvouse arrebatou a espada ao meirinho e saltou no meio da casa armado para acometer e defenderse,0
1812,o senhor antonio joao atirando para tras a ponta de sua espada que metida em uma velha e suja bainha pendialhe de um tosco cinturao de couro cru ajoelhouse e abriu o tronco,0
1815,que o militar defenda a honra da sua dama ultrajada mas romper lanças sem motivo confesso que me agrada mais o esplendor da farda do que o tinir da espada character alferes é preciso que uma sustente o prestigio da outra,0
1815,boa espada,1
1825,frederico floreia a espada com arrebatada bravura,1
1825,character rei cristao saca la da tua espada,0
1825,com esta espada sou capaz de entrar pelo inferno dentro e por tudo em mil pedaços que eu sou um rei sanguinolento,0
1825,corre brandindo a espada de um lado a outro de mouriscos reis nasci sou seu filho alentado o meu braço furibundo deixa tudo escangalhado,0
1825,e por tanto senhores beijo esta espada e leio na sua lamina os novos destinos que vao alvorecer para portugal,0
1825,recebo de vossas maos senhora a espada que ha de decepar as infinitas cabeças da hidra financeira,0
1825,character morgadinha tirando a espada da mao de macario esta nas maos de sua filha esta espada e como infelizmente sou mulher ha de haver um homem a quem meu pai chame filho e ele sera digno dela,0
1825,se a fortuna me tivesse dado um filho essa espada estaria ja nas maos dele,1
1825,traz uma espada empunhada e outra debaixo do braço seguemno comandantes subalternos vestidos a capricho uns com chapeu redondo e banda e dragonas outros de barretina e niza,0
1825,aqui esta por consequencia esta valente espada que matou em muita soma de frances do junot e que hade nas maos de vossa excelencia limpar este pais de escrivaes de fazenda e outros mariolas que nos desgraçam,0
1825,receba vossa excelencia das minhas maos esta espada e salve com ela a patria do senhor dom afonso henriques,1
1825,macario caminha a passo solene e cadencioso com a espada oferecida segura pela lamina levando a sua na bainha,0
