ano,sentenca,cluster
1825,olha é o leao que ruge partidos os grilhoes de respeito a lei,0
1991,com a deterioraçao do outono seu odor penetrante a chuva que vergasta o vento que ruge em rajadas,1
2015,partida solta a corda agora vai zarpando nau porqueta quem nao estiver a bordo assovie um bolero e venha nadando ou entao sossegue e fique plantado no cais apito milorde sempre le a manchete do apito vesperal do dia valendose do horoscopo das horas dos varios meridianos e o unico vespertino que ja hoje vos traz as noticias de amanha kaiser kaiser woskar ruge torce os bigodes do cais brada feroz de punho alçado pra nau de lord bill krig izkrig kapitong,1
2015,o leao foi domesticado na nossa republica de compadres ele so ruge para baixo,0
2015,o unico momento em que parece faltar alguma coisa e no começo quando o leao da metro abre a bocarra ruge e nao se escuta nada,0
2015,o brasil ruge em silencio e no lugar da bocarra o que se ve e a boquinha,0
2015,filme o rato que ruge otimo jack arnold colecione classicos r a ideia dessa comedia pacifista de com peter sellers e genial um pequeno ducado europeu em crise resolve declarar guerra aos estados unidos para capitular e receber auxilio economico,1
2015,de repente detectou problemas insanaveis na mesma contabilidade e ruge ameaçadoramente contra o que ele mesmo aprovou,1
2015,esta e uma rapida sinopse de um dos magnatas de hollywood o semianalfabeto truculento lendario e genial louis b mayer o homem da metro e daquele leao que ainda hoje ruge num logotipo que rendeu bastante dinheiro,0
2016,sem as unhas nao consegue fazer frente a furia de ruge que nasceu ali ao lado no antigo simba safari e sempre teve fama de nervosinha suas brigas lhe renderam cicatrizes e uma orelha machucada,1
2016,voce pode ter pensado por que a nina e a ruge nao tiveram leoezinhos com o barroso,1
2016,enquanto os novos moradores nao chegam nina e ruge esperam um companheiro para desentristecer seus coraçoes tao sos e compartilhar os quase kg de carne que podem comer todos os meses,1
2016,desde novembro quando barroso morreu de velhice as viuvas nina e ruge nao podem mais se encontrar sob o risco de acontecer a maior pancadaria,1
2016,mesmo neste mes em que se a revolta nao esta nas ruas ruge nas redes,1
2017,o tempo urge e ruge,0
2018,ele so ruge e vcs nunca serao paz,1
2020,vejo shaena vindo na minha direçao mas tento morder vaegon que rosna pra ela mas se vira ruge e gospe fogo em pedras,1
