ano,sentenca,cluster
1812,o senhor estevao saindo de cima do joelho do pachola disse entao negro nao te podes levantar,2
1812,o que tens negro,2
1812,a um dos lados da casa havia mesa coberta de negro a qual servia de altar cujo idolo estava pintado em um painel encostado a uma parede este painel que chegava da mesa ate o teto era uma tosca pintura feita com grosseiras tintas representando um demonio,2
1812,sobre a mesa havia tres caveiras humanas cuja alvura sobressaia perfeitamente sobre o negro de que a mesa estava forrada,2
1812,assim bem se podia dizer teto paredes e pavimento desta hedionda sala estavam cobertos de negro,2
1812,deste teto atados em alguns fios pendiam muito perto uns dos outros alguns ossos humanos que por estarem tambem bastante claros alvejavam sobre o fundo negro do teto de onde pendiam,0
1812,com efeito do ceu oriental começava a noite de puxar as ruivas franjas de seu negro veu e pouco depois a noite tranquila melancolica e si lenciosa tranquila como a mae do repouso me lancolica como a mae da saudade e silenciosa como a mae do amor estrelou os ceus tingiu os ares de negro e envolveu a terra,2
1812,todavia no dia marcado apresentouse o pachola com o pequira para vender e ja o tinha justo por trinta mil reis quando apareceu o senhor estevao que pondolhe a mao a gola da jaqueta perguntoulhe ó negro de onde tiraste este cavalo,2
1812,negro sai do caminho que quero passar disse o mandigueiro firmandose no seu bordao e desembainhando uma comprida faca,2
1812,o senhor estevao tornoulhe a caprichosa moça e preciso que se desengane quando eu nao tiver pao onde estou prefiro recebelo do homem mais ordinario do mundo de um negro ate a pedilo de porta em porta do que recebelo de sua mao,2
1815,nada me admira desse salto negro de ruim sapato nado e criado para viver no lodo porem que o fidalgo o cavalheiro que olha de mais alto que da honra e polidez das proprias açoes deve fazer instrumento para medir as alheias que esse nao distinga o infame do homem de bem,2
1829,semelhante ao da sumauma com a diferença de ser negro,2
1829,iracema tomou a rama da pena e pintou uma folha com uma abelha sobre sua voz ressoou entre sorrisos assim como a abelha fabrica mel no coraçao negro do jacaranda a doçura esta no peito do mais valente guerreiro,2
1829,alongando fagueira o colo com o negro bico alisoulhe os cabelos e beliscou a boca vermelha como uma pitanga,2
1829,um negro nojento e coberto de suor tem na mao uma machadinha e sobre um cepo cheio de fragmentos de pau ossos etecetra corta aquela porçao de carne de que necessita o comprador eis a higiene a respeito das carnes de que nos alimentamos de nossos açougues antes casas de roubos e de descomposturas,2
1829,quando completamente desenvolvidos sao animalculos arredondados brancos apresentando um ponto negro onde estao os olhos boca etecetra atacam de preferencia a pele dos calcanhares e a das extremidades dos artelhos parece que os nossos terrenos arenosos os originam sao os habitantes das praias sao os negros sao os meninos em quem eles mais vezes se notam,0
