ano,sentenca,cluster
1825,isto e o pecado em carne e osso,3
1881,anda despachate character belarmina valhame deus é pecado talvez ele ainda ai esta character isidoro furioso ele,1
1991,quem podera acusar me de ter pecado,3
1991,dar lhe provas de seu pecado pilha la em flagrante delito de ausencia,3
1991,é um pecado muito grande elisabeth,3
1991,é um pecado muito grande é tarde para viver agora,3
1991,é um pecado muito grande filhinha,1
1991,como se no fundo de sua caridade visivel demais se escondesse uma identidade assustadora alem do protestantismo alem da lingua inglesa o pecado original procure bem nao e um pecado doutor nelson e uma grande magoa,3
1991,traduçoes que propomos dar lhe provas de seu pecado pilha la em flagrante delito de ausencia cap,3
1991,quem me acusara de ter pecado cap,3
1991,tlo c p la convaincre du peche la prendre en flagrant delit dabsence tlt p convence la do pecado tlo c p qui me convaincra de peche tlt p quem me convencera de ter eu pecado o verbo convaincre em contextos como os destes dois exemplos distingue se do significado em que e mais ou menos sinonimo de persuader,1
1991,dar lhe provas de seu pecado pilha la em flagrante delito de ausencia,3
1994,a vida e balizada pelo pecado original,3
1996,ja o grande pecado do radar e o seu pequeno alcance temporal,0
2000,apos essa breve dissertaçao sobre o pecado da gula que a todos nos leva forçosamente a uma estada no purgatorio encerramos a sessao de comilança com o belo sorvete de murici que repousou gostosamente bem no estomago amenizando a temperatura elevada que aquelas horas acomete toda a ilha prenunciando segundo saloca a segunda chuvarada naqueles dias de inverno,2
2000,no entanto nao resisti a tentaçao e cometi o pecado de verter goela adentro para abrir o apetite uma tiquira azulada com casca de tangerina que me foi gentilmente ofertada pelo proprio basilio nao sem antes formalmente desprezar a teoria de que a preciosa aguardente nao se da bem com a juçara o segredo do cuxá todas as coisas de que falo estao na cidade entre o ceu e a terra,3
2000,se for assim perturbador com todos os mortais que passam por ela nas ruas magina ele que passou a viver ali dentro de casa todos os dias juntinhos com aquele amor de pecado,3
2000,e teve o cuidado de dizer no ouvido do sacristao que nao era pecado comer hostia,3
2000,o livro assim como a biografia de newton de michael white tambem traz outros podres do celebre cientista em especial a sua inconstancia sentimental um pecado que ainda bem ele nao repetia em sua vida profissional permanecendo fiel toda a sua vida a uma unica concepçao filosofica do mundo,2
2001,bom ja e um começo tipo assim para iniciar uma prosa tem um poeta que ve a paixao como sentimento breve violento capaz de levar a extremos a paixao e pecado como a gula o desejo a inveja feroz sentimento,1
2001,ia ao mercado a missa rezava mais e mais se confessava pensando estar cometendo algum pecado,3
2001,e o pecado da antiga teoria era nao saber lidar com esse ingrediente ruidoso,3
2002,nascia o pecado original da educaçao indigena ensinalos a falar portugues afastandoos da sua cultura e negando o dialogo entre as diversidades,3
2002,por fim um terceiro pecado de lomborg sempre segundo the economist o livro da pouco credito a politica ambiental como a causa de aprimoramentos na area ambiental,0
2003,nelson rodrigues escreveu sua primeira peça teatrala mulher sem pecado em assumidamente para ganhar dinheiro era jornalista esportivo deo globo,2
2003,posso citar como exemplo crespusculo dos deuses ou quando ele faz a comedia o pecado mora ao lado com marilyn monroe hitchcock teria um trabalho mais universal no olhar sobre o que e o cinema,2
2003,a insanidade encarnada no torturado receptaculo de toda rebeldia e pecado,3
2004,arrancalo do pecado original convencelo do que considerava a verdade observa toledo,3
2005,segundo matias o bc deu ao governo a maça do pecado dos juros em no inicio do plano real,0
2005,a justificativa biblica nao dissimulava o pecado capital da ma formaçao dada aos agentes de informaçao vigiar e preciso e ao contrario do passado o foco nao e a guerra mas o controle do poder,0
