ano,sentenca,cluster
1802,sabiamos que nosso tio o marques de alorna tinha recebido de o imperador napoleao um comando importante em o grande exercito que marchava contra a russia mas nada mais sabiamos depois de a sua marcha,0
1802,ceou com os seus ajudantes de campo e depois de dar ordem para em o fim de quatro horas de descanso continuar a retirada deitou se embuçado em a sua peliça sobre as palhas onde tinha os cavalos e junto de ele o seu antigo ajudante de campo jose manuel quando o foram acordar afim de continuarem a marcha estava morto,1
1802,os corpos mal tinham espaço para desfilar por seçoes porque o povo era tanto que a todos os momentos interrompia a marcha,0
1802,o coronel vasconcellos e o marques de valença foram colocados em os corpos a que pertenciam antes de a marcha de a divisao portuguesa para frança,1
1802,e invasao de os franceses chegou joao evangelista a cavalo a grande galope a dizer que as avançadas de o exercito frances estavam em vila franca que sua alteza embarcava em o cais de belem devendo a esquadra levantar logo ferro e fazer se de vela e que tinham marchado sobre sacavem o regimento de cavalaria de o cais para ver se demorava a marcha de o exercito invasor e sobre a estrada de mafra o de cavalaria de alcantara para escoltar a sua alteza,1
1802,outra demonstraçao que muito concorreu para a marcha de o corpo expedicionario foi a que o marques de alorna e o general barao de caronbert receberam em o rocio uma tarde em que por acaso o atravessaram de grande uniforme,1
1802,vendo que em a corte nada se sabia de a marcha de o exercito frances de o qual ele tambem ignorava os movimentos e parecendo lhe que ele devia ter entrado em portugal ou por o menos estar em a fronteira ordenou a os seus tres ajudantes de campo os coroneis lecor e boucachar e major gaibao que marchassem em diferentes direçoes a o encontro de aquele exercito e que verificassem onde ele estava que,1
1802,umas vezes era a marcha de algum de os noivos outra o anuncio de uma nova invasao,1
1802,em o refeitorio o marques tomava o lugar de o prior e tinha a seu lado uma campainha para regular a marcha de o banquete,1
1815,o carro entra seguindo uma marcha igual a que trouxe o carro da america,0
1825,cessam as cantilenas e rompe a banda musical de santo tirso estrondosa em trompoes a qual entra em cena tocando uma marcha,1
1825,ouvese a musica tocando uma marcha character pantaleao é ja,1
1825,sai com os personagens do auto atras da musica que vai tocando a marcha cena iii os mesmos exceto os personagens do auto grande movimento e rapido,1
1825,manda tocar a marcha o antonho da pega,1
1825,a musica executa uma marcha muito compassada,0
1829,title breves reflexoes acerca da marcha e desenvolvimento da razao humana,0
1829,esta bateria ficara provavelmente por alguns anos em atividade sem a menor adiçao e de mais podese sendo preciso imediatamente e sem parar a marcha do relogio renovala com uma despesa pequenissima,0
1829,sendo costume de toda a associaçao que trabalha pela consecuçao de seus fins celebrar o aniversario de sua instalaçao com a reuniao maxima de seus associados para nao so fazerlhes sentir o progresso de seus trabalhos se o tem havido os estorvos que pode ter encontrado em sua marcha e indicar os meios de que espera tirar vantagem para o seu intento mas ainda para por meio da liberdade do voto fazer que os diversos empregos quer intelectuais quer administrativos passando a outras pessoas deixem repousar os que ja tem servido e ofereça alimento e exercicio a outros talentos e atividades a academia de ciencias medicas imita hoje tao louvavel exemplo e cumpre,1
1829,a esposa e o amigo seguem sua marcha,0
1829,o caminho fazse na ocasiao da marcha atraves da floresta ou do campo e em certa direçao aquele que o tem e o da e realmente senhor do caminho,1
1829,as mais singulares e ao mesmo tempo engenhosas ideias se tem derivado dessa marcha como tambem da diversidade dos objetos estudados,0
1829,por demais admiravel e a marcha do espirito humano na indagaçao da verdade e nao e possivel procurar seguilo em seu desenvolvimento sem que fiquemos perplexos a vista das numerosas inimaginaveis direçoes que pode tomar sobre os ja tao multiplicados e variados fenomenos e seres da natureza,0
1829,pode porse tambem na classe dos simbolos numericos o pouroucha viradj ou criador androgino dos indochinas as duas colunas uma de fogo outra de nuvens que acompanharam a marcha dos judeus no deserto as duas colunas do templo de salomao e outros tipos analogos,1
1829,ela demora a marcha dos guerreiros,0
1829,nao ha duvida que e quase infinita a responsabilidade que sobre vossa senhoria pesa que a responsabilidade dos empregados publicos e entre nos uma quimera mas ilustrissimo senhor se vossa senhoria nao prossegue na marcha encetada bem que ate o presente com pouco fruto mas sempre com algum pois que ja nao vemos folgarem em ricos sofas os crimes e as venalidades como anteriormente tristes de nos se retrogradamos para os velhos desleixos dos promotores publicos a quem um honrado advogado qualquer fazia desistir de acusaçoes tais como os de carreirao e seu irmao e socio,1
1829,os amigos da patria e por consequencia da justiça mil votos farao pela saude de vossa senhoria a qual desejam ver restaurada para puniçao dos perversos que tanto embaraça a marcha de nossa prosperidade,0
1829,restanos confessar que o excelentissimo senhor presidente preencheu desta vez nossos desejos e sua marcha foi nao so legal e prudente porem firme e disposta a qualquer ato de energia que o bem publico exigisse,0
1829,a civilizaçao nao e menos uma das causas do progresso da tisica na bahia embora tenha dito em sua tese inaugural o senhor doutor olavo que a civilizaçao e a marcha progressiva das sociedades para o aperfeiçoamento embora nao falte quem desconhecendo a natureza da especie humana que sendo imperfeita tudo o que ela produzir tambem o deve ser diga que a civilizaçao em si e o nao plus ultra quanto a nos nao pensamos assim quanto a nos mesmo a mais perfeita civilizaçao ha de ter defeitos e pensar o contrario e ser utopista,1
1829,galeno e bordeu falam da necessidade de atender aos periodos ou fases da molestia e e sabido que aquilo que convem no começo de uma doença nem sempre convem no meio nem tampouco no fim de sua marcha,1
